source,row,sentence,v1_response,v2_response,ok,latency_seconds
합성,28,봄에 쓰기 좋은 화사한 꽃 향을 찾고 있어. 감귤의 산뜻함이 섞이고 무겁거나 달지 않았으면 좋겠어.,"{""scent_preference"": [], ""context"": {""season"": [""spring""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""화사한 꽃 향"", ""감귤의 산뜻함이 섞인 느낌"", ""무겁지 않게"", ""달지 않게""]}","{""scent_preference"": [""floral"", ""citrus""], ""context"": {""season"": [""spring""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""heavy"", ""sweet""], ""additional_requirements"": [""봄에 쓰기 좋은 화사한 꽃 향"", ""감귤의 산뜻함이 섞이기"", ""무겁거나 달지 않기""]}",True,1.618
합성,32,달콤한 과일 바구니 같은 향이면 좋겠어. 은은한 나무 냄새와 새콤한 감귤 느낌이 섞여 너무 가볍지만 않았으면 해.,"{""scent_preference"": [""citrus"", ""fruity"", ""sweet""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달콤한 과일 바구니 같은 향"", ""은은한 나무 냄새"", ""새콤한 감귤 느낌"", ""너무 가볍지 않았으면 함""]}","{""scent_preference"": [""Citrus"", ""woody"", ""sweet fruity""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달콤한 과일 바구니 같은 향"", ""은은한 나무 냄새와 새콤한 감귤 느낌이 섞임"", ""너무 가볍지 않았으면 함""]}",True,1.681
합성,38,화사한 장미 향이 중심인데 너무 무겁지는 않았으면 좋겠어. 시원하고 포근한 느낌이 함께 나면 해.,"{""scent_preference"": [""Rose"", ""citrus"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too heavy""], ""additional_requirements"": [""화사한 장미 향이 중심"", ""너무 무겁지 않았으면 좋겠어"", ""시원한 느낌이 함께 나면 해"", ""포근한 느낌이 함께 나면 해""]}","{""scent_preference"": [""Rose""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""heavy""], ""additional_requirements"": [""화사한 장미 향이 중심"", ""너무 무겁지 않았으면 좋겠음"", ""시원한 느낌이 함께 나면 좋겠음"", ""포근한 느낌이 함께 나면 좋겠음""]}",True,1.585
합성,44,상쾌한 감귤과 허브 향이 중심이면 좋겠어. 너무 가볍지 않게 나무 냄새와 부드러운 라벤더도 같이 원해.,"{""scent_preference"": [""citrus"", ""herb"", ""woody"", ""lavender""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 가볍지 않게""]}","{""scent_preference"": [""citrus"", ""herbal"", ""woody"", ""lavender""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 가볍지 않게""]}",True,1.188
합성,50,과일 향과 단향이 풍성하되 너무 가볍지 않았으면 좋겠어. 따뜻한 나무 냄새와 은은한 상큼함도 같이 원해.,"{""scent_preference"": [""fruit"", ""woody"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""과일 향과 단향이 풍성하되 너무 가볍지 않았으면 좋겠어"", ""따뜻한 나무 냄새"", ""은은한 상큼함""]}","{""scent_preference"": [""fruity"", ""woody"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""fruity rich but not too light"", ""warm wood smell"", ""subtle freshness""]}",True,1.676
합성,52,화사한 꽃 향이 중심인데 무겁지 않았으면 좋겠어. 휴양지 느낌과 촉촉한 물 냄새가 함께 나면 좋아.,"{""scent_preference"": [""flower""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""화사한 꽃 향 중심"", ""무겁지 않았으면 좋겠음"", ""휴양지 느낌"", ""촉촉한 물 냄새(물 향)""]}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""화사한 꽃 향 중심"", ""무겁지 않았으면 좋겠어"", ""휴양지 느낌"", ""촉촉한 물 냄새 함께""]}",True,1.232
합성,110,화사한 꽃다발 같은데 너무 가볍지는 않았으면 좋겠어. 부드러운 체취 느낌과 살짝 매콤한 장미 향도 있으면 해.,"{""scent_preference"": [""Rose"", ""Flower""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too light""], ""additional_requirements"": [""화사한 꽃다발 같은 느낌"", ""부드러운 체취 느낌"", ""살짝 매콤한 장미 향""]}","{""scent_preference"": [""Rose"", ""flowers""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too light""], ""additional_requirements"": [""화사한 꽃다발 같은 느낌"", ""부드러운 체취 느낌"", ""살짝 매콤한 장미 향""]}",True,1.533
합성,127,잘 익은 과일에 꿀을 뿌린 듯한 향을 찾고 있어. 화사한 흰 꽃이 섞이고 너무 무겁지는 않았으면 해.,"{""scent_preference"": [""honey"", ""fruit"", ""floral""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too heavy""], ""additional_requirements"": [""잘 익은 과일에 꿀을 뿌린 듯한 향"", ""화사한 흰 꽃이 섞인 느낌"", ""너무 무겁지 않았으면""]}","{""scent_preference"": [""ripe fruit"", ""honey"", ""white flowers""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 무겁지 않았으면 함""]}",True,2.108
합성,137,꽃 향이 중심인데 너무 가볍지는 않았으면 좋겠어. 나무 향이 묵직하게 남고 보송한 느낌도 같이 있으면 해.,"{""scent_preference"": [""Rose"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""꽃 향이 중심이되 너무 가볍지는 않게"", ""나무 향이 묵직하게 남는 느낌"", ""보송한 느낌도 같이""]}","{""scent_preference"": [""Rose"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""꽃 향이 중심"", ""너무 가볍지는 않게"", ""나무 향이 묵직하게 남는 느낌"", ""보송한 느낌도 같이""]}",True,1.476
합성,142,과일 사탕처럼 달달한 향을 찾고 있어. 캐러멜 느낌이 은근하고 너무 답답하지 않게 상큼했으면 좋겠어.,"{""scent_preference"": [""Caramel"", ""Citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""fruity candy-like sweet scent"", ""sweet caramel vibe"", ""not too stuffy"", ""slightly fresh/bright""]}","{""scent_preference"": [""candy"", ""sweet"", ""caramel"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 답답하지 않게"", ""상큼했으면 좋겠어""]}",True,1.637
