"perfume_id","sentence_no","sentence"
3166,1,"라벤더 향이 또렷하면서 은은하게 달콤한 향을 찾고 있어. 차분하고 고전적인 분위기면 좋겠어."
3166,2,"자연스러운 라벤더에 부드러운 바닐라가 섞인 향이면 좋겠어. 너무 화려하지 않고 편안했으면 해."
3166,3,"옛날 향수 같은 우아한 느낌을 원해. 라벤더와 포근한 단향이 중심이고 살짝 보송한 느낌도 괜찮아."
81839,1,"봄여름 출근할 때 쓸 시원한 향을 찾고 있어. 상큼한 감귤과 새콤한 대황 향에 바다 느낌이 있었으면 해."
81839,2,"더운 날 기분 전환하기 좋은 향이면 좋겠어. 밝은 감귤로 시작해서 맑고 시원한 바닷바람처럼 느껴졌으면 해."
81839,3,"회사에서도 부담 없는 현대적인 여름 향을 원해. 상쾌하고 깨끗하면서 바다처럼 탁 트인 분위기면 좋겠어."
13737,1,"고급스럽고 단정한 상쾌한 향을 찾고 있어. 초록 잎 같은 싱그러움과 면도 크림 같은 깨끗함이 있었으면 해."
13737,2,"격식 있는 자리에도 어울리는 깔끔한 향이면 좋겠어. 푸릇하고 신선하면서 살짝 중후한 분위기를 원해."
13737,3,"너무 젊고 가벼운 향보다 성숙하고 세련된 향을 원해. 깨끗하고 초록빛 느낌이 선명했으면 좋겠어."
54516,1,"검은 정장에 어울릴 만큼 우아한 향을 찾고 있어. 감귤과 초록 잎 향에 따뜻한 단맛이 은근히 있었으면 해."
54516,2,"고전적이지만 품격 있는 향이면 좋겠어. 이끼 낀 숲 같은 깊은 향에 상큼함과 부드러운 단맛이 섞였으면 해."
54516,3,"가볍고 시원한 향보다 깊고 복잡한 향을 원해. 초록 식물과 감귤, 따뜻한 풀꽃 향이 겹쳐졌으면 좋겠어."
64679,1,"달콤한 장미 향을 찾고 있는데 귀엽거나 소녀 같은 느낌은 싫어. 검은 열매와 흙내음이 섞여 깊었으면 해."
64679,2,"고급스럽고 어두운 분위기의 장미 향이면 좋겠어. 새콤한 검은 과일과 묵직한 흙 향이 함께 느껴졌으면 해."
64679,3,"성숙하고 관능적인 꽃향을 원해. 풍성한 장미가 중심이고 과일의 달콤함과 어두운 분위기가 있었으면 좋겠어."
57,1,"한여름에 쓸 진짜 자몽 같은 향을 찾고 있어. 달기보다 쌉싸름하고 상큼하면서 개성이 뚜렷했으면 좋겠어."
57,2,"갓 자른 자몽 껍질처럼 생생한 향이면 좋겠어. 시원하고 기분 좋아지지만 약간 씁쓸한 느낌도 있었으면 해."
57,3,"평범한 감귤 향보다 독특한 여름 향을 원해. 자몽의 신맛과 쓴맛이 또렷하고 아주 신선했으면 좋겠어."
103564,1,"더운 여행지에서 쓸 상큼한 향을 찾고 있어. 쌉싸름한 오렌지 껍질과 탄산음료 같은 톡 쏘는 느낌이면 좋겠어."
103564,2,"달달한 귤 향 말고 자연스러운 오렌지 향을 원해. 껍질의 씁쓸함이 살아 있고 시원하게 톡톡 튀었으면 해."
103564,3,"한여름에 기분 전환되는 감귤 향이면 좋겠어. 쌉싸름하고 탄산감 있는 오렌지 향에 세련된 느낌을 원해."
44281,1,"갓 세탁한 흰옷처럼 아주 깨끗한 향을 찾고 있어. 보송한 천과 살냄새가 섞이고 회사에서도 무난했으면 해."
44281,2,"사계절 데일리로 쓸 빨래 향이면 좋겠어. 깨끗한 면이불처럼 편안하면서 살짝 보송한 꽃향도 있었으면 해."
44281,3,"남녀 누구나 쓰기 좋은 깔끔한 향을 원해. 세탁한 옷과 깨끗한 피부가 떠오르고 너무 달지 않았으면 좋겠어."
271,1,"90년대 느낌이 살짝 나는 시원한 향을 찾고 있어. 멜론 같은 과일 향과 물기 어린 깨끗함이 있었으면 해."
271,2,"상쾌하고 선명한 옛날 여름 향 느낌이면 좋겠어. 달큰한 멜론과 시원한 물향이 함께 느껴졌으면 해."
271,3,"깔끔하고 시원한 향을 좋아하는데 너무 평범하진 않았으면 해. 멜론 같은 과일 향이 또렷하면 좋겠어."
18272,1,"햇살 좋은 여름날 같은 화사한 향을 찾고 있어. 배와 감귤의 상큼함에 인동꽃과 오렌지꽃이 섞였으면 해."
18272,2,"기분이 밝아지는 가벼운 꽃과일 향이면 좋겠어. 달콤한 배 향과 흰 꽃이 반짝이듯 느껴졌으면 해."
18272,3,"여름에 쓰기 좋은 여성스러운 향을 원해. 과일주스 같은 상큼함에 오렌지꽃 향이 산뜻하게 이어졌으면 좋겠어."
29105,1,"따뜻한 계절에 쓰기 좋은 달콤한 과일 향을 찾고 있어. 귀엽고 발랄하면서 포근한 느낌도 있었으면 해."
29105,2,"너무 성숙한 향보다 젊고 장난스러운 분위기를 원해. 달달한 과일 향이 중심이고 따뜻하게 느껴졌으면 좋겠어."
29105,3,"여성스럽고 사랑스러운 과일 향이면 좋겠어. 상큼함과 달콤함이 같이 있고 너무 무겁지 않았으면 해."
3116,1,"봄날 아침의 젖은 잔디 같은 향을 찾고 있어. 풋풋한 감귤과 재스민이 섞이고 전체적으로 시원했으면 해."
3116,2,"달콤한 향보다 초록빛이 강한 향을 원해. 이슬 맺힌 풀과 상큼한 과일, 맑은 꽃향이 함께 났으면 좋겠어."
