perfume_id,sentence_no,sentence
3166,1,라벤더 향이 진하고 달콤한 바닐라 느낌이 있었으면 좋겠어. 보송한 분냄새와 포근한 살냄새도 원해.
3166,2,차분한 라벤더에 부드러운 단향이 섞인 향을 찾고 있어. 화장품 분처럼 보송하고 따뜻했으면 좋겠어.
3166,3,잠들기 전 맡기 좋은 편안한 꽃향이면 좋겠어. 달콤하면서 포근하고 깨끗한 피부 같은 느낌도 있었으면 해.
81839,1,향긋한 허브 냄새가 강하고 레몬처럼 상큼했으면 좋겠어. 풋풋한 풀과 나무 향도 선명하게 느껴지면 해.
81839,2,싱그러운 허브와 감귤 향이 중심인 향을 찾고 있어. 살짝 알싸하면서 숲처럼 자연스러운 느낌이면 좋겠어.
81839,3,상쾌한 풀밭을 걷는 듯한 향이면 좋겠어. 새콤한 과일 향과 마른 나무 냄새가 함께 나면 좋아.
13737,1,허브 향이 진하고 톡 쏘는 알싸함이 있었으면 좋겠어. 나무와 젖은 흙 냄새가 깊게 느껴지면 해.
13737,2,숲속 약초밭 같은 향을 찾고 있어. 흙과 나무 향이 묵직하고 차분한 라벤더도 함께 났으면 좋겠어.
13737,3,달지 않고 자연스러운 향이면 좋겠어. 향긋한 풀과 매콤한 느낌이 강하고 축축한 흙냄새도 원해.
54516,1,레몬처럼 상큼한데 젖은 흙과 이끼 냄새도 진했으면 좋겠어. 허브의 알싸한 느낌까지 있으면 해.
54516,2,비 온 뒤 숲처럼 촉촉하고 흙내음 나는 향을 찾고 있어. 감귤 향이 밝게 나고 이끼 느낌도 선명하면 좋아.
54516,3,상큼한 과일 향과 축축한 숲 냄새가 같이 났으면 좋겠어. 약초 같은 향과 톡 쏘는 느낌도 원해.
64679,1,장미 향이 진하고 다른 꽃향도 풍성했으면 좋겠어. 달콤한 과일과 깊은 나무 냄새도 같이 느껴지면 해.
64679,2,화려한 장미 꽃다발 같은 향을 찾고 있어. 과즙 있는 과일 향이 나고 젖은 흙 같은 깊이도 있었으면 좋겠어.
64679,3,장미가 중심인 풍성한 꽃향이면 좋겠어. 달콤한 과일 느낌과 차분한 나무 향이 받쳐주면 좋아.
57,1,레몬이나 오렌지처럼 상큼한 향이 확실했으면 좋겠어. 허브와 풋풋한 풀 냄새도 은은하게 나면 해.
57,2,가볍고 깔끔한 감귤 향을 찾고 있어. 살짝 알싸하면서 초록 잎 같은 싱그러움도 있었으면 좋겠어.
57,3,더운 날 쓰기 좋은 산뜻한 향이면 좋겠어. 상큼한 과일 향이 중심이고 나무 냄새는 가볍게만 원해.
103564,1,상큼한 감귤 향이 강하고 나무 냄새가 또렷했으면 좋겠어. 살짝 알싸하면서 전체적으로 시원하면 해.
103564,2,레몬 같은 밝은 향과 숲의 나무 향이 같이 나는 향을 찾고 있어. 무겁지 않고 깔끔했으면 좋겠어.
103564,3,첫 향은 상쾌한 과일 느낌이고 뒤에는 마른 나무 냄새가 남았으면 해. 톡 쏘는 느낌도 조금 원해.
44281,1,보송한 화장품 분냄새가 강하고 깨끗한 살냄새가 났으면 좋겠어. 은은한 꽃과 바닐라 단향도 원해.
44281,2,포근한 파우더 향을 찾고 있어. 부드러운 꽃 향과 피부에 가까운 깨끗한 냄새가 중심이면 좋겠어.
44281,3,화장대의 분가루처럼 보송하고 부드러운 향이면 좋겠어. 은은한 바닐라와 따뜻한 느낌도 있었으면 해.
271,1,향긋한 허브와 달콤한 과일 향이 풍성했으면 좋겠어. 꽃과 약초 같은 싱그러운 느낌도 함께 원해.
271,2,과일과 꽃이 섞인 밝은 향을 찾고 있어. 풋풋한 허브 냄새가 선명하고 은근한 단향도 있었으면 좋겠어.
271,3,싱그러운 정원 같은 향이면 좋겠어. 달콤한 과일과 꽃 향이 나면서 약초 같은 자연스러움도 원해.
18272,1,달콤한 과일 향이 진하고 하얀 꽃 향도 풍성했으면 좋겠어. 꿀처럼 부드러운 단향과 상큼함도 원해.
18272,2,잘 익은 과일에 꿀을 뿌린 듯한 향을 찾고 있어. 화사한 흰 꽃이 섞이고 너무 무겁지는 않았으면 해.
18272,3,과즙 있는 달콤한 향이 중심이면 좋겠어. 꽃과 꿀 냄새가 은은하게 나고 끝에는 감귤처럼 산뜻하면 해.
29105,1,달콤한 과일 향이 강하고 캐러멜처럼 눅진한 느낌이 있었으면 좋겠어. 상큼한 감귤 향도 살짝 원해.
29105,2,과일 사탕처럼 달달한 향을 찾고 있어. 캐러멜 느낌이 은근하고 너무 답답하지 않게 상큼했으면 좋겠어.
29105,3,잘 익은 과일과 설탕 같은 단향이 풍성했으면 좋겠어. 부드러운 바닐라와 새콤한 느낌도 조금 있으면 해.
3116,1,레몬처럼 상큼한 향이 강하고 과일 향도 은은하게 났으면 좋겠어. 살짝 알싸하면서 깔끔하면 해.
3116,2,가볍고 시원한 감귤 향을 찾고 있어. 향긋한 허브와 과즙 있는 느낌이 같이 나면 좋겠어.
3116,3,더운 날 부담 없이 쓸 향이면 좋겠어. 새콤한 과일 향이 중심이고 톡 쏘는 상쾌함도 있었으면 해.
1485,1,장미와 다른 꽃 향이 풍성하게 나고 포근한 살냄새도 강했으면 좋겠어. 전체적으로 산뜻하면 해.
1485,2,생장미 꽃다발 같은 향을 찾고 있어. 깨끗한 피부 냄새가 섞이고 살짝 부드러운 향신료 느낌도 원해.
1485,3,화사한 장미 향이 중심인데 너무 무겁지는 않았으면 좋겠어. 시원하고 포근한 느낌이 함께 나면 해.
72554,1,나무 향이 진하고 따뜻한 향신료와 가죽 냄새가 느껴졌으면 좋겠어. 살짝 알싸한 느낌도 원해.
72554,2,묵직한 숲과 가죽을 떠올리게 하는 향을 찾고 있어. 따뜻하게 매콤하면서 허브 향도 은은하면 좋아.
72554,3,가을겨울에 어울리는 깊은 향이면 좋겠어. 마른 나무와 가죽 냄새가 중심이고 향신료 느낌도 있었으면 해.
2802,1,꽃향이 풍성하면서 열대 지방 같은 밝은 분위기가 있었으면 좋겠어. 물가처럼 시원하고 산뜻하면 해.
2802,2,화사한 꽃 향이 중심인데 무겁지 않았으면 좋겠어. 휴양지 느낌과 촉촉한 물 냄새가 함께 나면 좋아.
2802,3,싱그러운 꽃밭과 바닷가를 같이 떠올리게 하는 향이면 좋겠어. 은은한 나무 향도 살짝 있었으면 해.
64950,1,보송한 분냄새가 강하고 나무 향도 또렷했으면 좋겠어. 바닐라와 깨끗한 살냄새가 포근하게 나면 해.
64950,2,파우더처럼 부드러운 향을 찾고 있어. 달콤한 바닐라와 마른 나무 냄새가 섞이고 흰 꽃 향도 원해.
64950,3,포근하고 차분한 향이면 좋겠어. 화장품 분 향이 중심이고 나무와 깨끗한 피부 향이 함께 남으면 해.
56993,1,톡 쏘는 알싸함이 강하고 향긋한 허브 냄새가 났으면 좋겠어. 과일과 라벤더 향도 은은하게 원해.
56993,2,상쾌하고 살짝 매콤한 향을 찾고 있어. 달콤하지 않은 과일 향과 차분한 꽃 향이 함께 나면 좋아.
56993,3,깔끔한 향신료 느낌이 중심이면 좋겠어. 레몬 같은 상큼함과 라벤더의 편안한 향도 살짝 있었으면 해.
64500,1,따뜻하고 깊은 향이 중심인데 꽃 향도 풍성했으면 좋겠어. 감귤의 상큼함과 은근한 매콤함도 원해.
64500,2,포근하면서 화사한 향을 찾고 있어. 따뜻한 향신료 느낌과 흰 꽃 향이 나고 처음에는 산뜻하면 좋겠어.
64500,3,가을에 쓰기 좋은 따뜻한 향이면 좋겠어. 꽃향이 은은하게 퍼지고 상큼한 과일 느낌도 함께 있었으면 해.
61811,1,바닐라 향이 진하고 달콤하면서 꽃향도 풍성했으면 좋겠어. 보송한 분냄새와 나무 향도 같이 원해.
61811,2,달달하고 포근한 향을 찾고 있어. 부드러운 꽃 향과 화장품 분 같은 느낌이 나고 너무 가볍지는 않았으면 해.
61811,3,바닐라 크림처럼 부드러운 단향이 중심이면 좋겠어. 꽃과 나무 향이 받쳐주고 보송하게 마무리되면 해.
39885,1,나무 향이 진하고 꿀처럼 달콤한 느낌이 있었으면 좋겠어. 보송한 분 향과 은은한 꽃 향도 같이 원해.
39885,2,숲의 나무 냄새에 꿀을 섞은 듯한 향을 찾고 있어. 부드러운 꽃과 파우더 같은 포근함도 있었으면 해.
39885,3,차분한 나무 향이 중심인데 은근히 달콤했으면 좋겠어. 꿀 냄새와 보송한 꽃 향이 같이 나면 좋아.
64204,1,나무 향이 진하고 보송한 분냄새도 강했으면 좋겠어. 초록 잎과 짭짤한 허브 같은 독특한 느낌도 원해.
64204,2,숲과 풀밭을 떠올리게 하는 차분한 향을 찾고 있어. 나무 냄새가 중심이고 고소하고 짭짤한 느낌도 있으면 해.
64204,3,자연스럽고 드라이한 향이면 좋겠어. 나무와 초록 잎 냄새가 강하고 파우더 같은 부드러움도 함께 원해.
80042,1,나무 향과 바닷바람 같은 시원함이 둘 다 강했으면 좋겠어. 노란 꽃 향과 보송한 느낌도 함께 있으면 해.
80042,2,바닷가 근처 숲을 걷는 듯한 향을 찾고 있어. 짭짤한 공기와 나무 냄새가 나고 꽃 향도 선명하면 좋아.
80042,3,시원한 바다 느낌이 중심이지만 차갑기만 하진 않았으면 해. 나무와 따뜻한 꽃 향이 같이 나면 좋겠어.
25967,1,레몬 같은 상큼함이 강하면서 따뜻하고 깊은 느낌도 있었으면 좋겠어. 나무 향과 살짝 알싸한 향도 원해.
25967,2,감귤 향으로 밝게 시작하지만 뒤에는 묵직했으면 좋겠어. 따뜻한 나무 냄새와 향신료 느낌도 있으면 해.
25967,3,상큼함과 따뜻함이 같이 있는 향을 찾고 있어. 레몬 향이 선명하고 마른 나무와 매콤함도 느껴지면 좋아.
36599,1,나무 향이 진하면서 꽃향도 은은하게 났으면 좋겠어. 바닷소금 같은 짭짤함과 상큼함도 같이 원해.
