"perfume_id","sentence_no","sentence"
80467,1,"어두운 분위기의 남성적인 향을 찾고 있어. 나무와 연기 느낌이 진하고 성숙하면서 신비로웠으면 좋겠어."
80467,2,"젊고 가벼운 향보다 묵직하고 차분한 향이 좋아. 나무 냄새와 스모키한 분위기가 강하게 느껴지면 좋겠어."
80467,3,"남성적이고 존재감 있는 향을 원해. 깊은 나무 향과 어두운 분위기가 있고 너무 달콤하지 않았으면 좋겠어."
54381,1,"라벤더 향이 중심인 편안한 향을 찾고 있어. 남녀 모두 쓰기 좋고 차분하면서 보송한 느낌이면 좋겠어."
54381,2,"머리 식힐 때 맡기 좋은 자연스러운 라벤더 향이면 좋겠어. 부드럽고 포근하면서 너무 달지는 않았으면 해."
54381,3,"사계절 편하게 쓸 라벤더 향을 원해. 향이 차분하게 변하면서 마지막에는 살짝 포근한 가루 느낌이 나면 좋겠어."
58907,1,"진짜 찻잎을 우린 것 같은 향을 찾고 있어. 신선하고 맑으면서 남녀 누구나 편하게 쓸 수 있으면 좋겠어."
58907,2,"차 마실 때 나는 은은한 향처럼 자연스러운 향이면 좋겠어. 상쾌하게 시작하고 너무 달거나 무겁지 않았으면 해."
58907,3,"평범한 과일 향 말고 찻잎 느낌이 선명한 향을 원해. 산뜻하면서 차분하고 깔끔한 분위기였으면 좋겠어."
66933,1,"밤이나 격식 있는 자리에 어울리는 여성스러운 향을 찾고 있어. 자두와 바닐라가 부드럽고 고급스럽게 느껴지면 좋겠어."
66933,2,"달콤한 자두 향에 크림 같은 바닐라가 섞인 향이면 좋겠어. 성숙하고 우아하면서 너무 어린 느낌은 싫어."
66933,3,"여성스럽고 매혹적인 저녁 향을 원해. 과일의 달콤함과 부드러운 바닐라가 어우러지고 보송한 느낌도 있었으면 해."
28,1,"어두운 자두 향이 중심인 고전적인 향을 찾고 있어. 마른 나무와 은은한 단맛이 섞여 성숙했으면 좋겠어."
28,2,"달달한 과일 향보다 깊고 차분한 자두 향을 원해. 나무 냄새와 향신료 느낌이 있고 우아했으면 좋겠어."
28,3,"오래된 영화 같은 분위기의 향이면 좋겠어. 진한 자두와 마른 나무 향이 어우러지고 살짝 달콤했으면 해."
8700,1,"한여름에 쓰기 좋은 생생한 오렌지 향을 찾고 있어. 갓 자른 붉은 오렌지와 허브 향이 자연스럽게 느껴지면 좋겠어."
8700,2,"더운 날 기분 전환되는 상큼한 향이면 좋겠어. 달지 않은 오렌지 과즙에 바질 같은 초록 향이 살짝 있었으면 해."
8700,3,"여름 오후처럼 밝고 따뜻한 향을 원해. 실제 오렌지 껍질 같은 향과 싱그러운 허브 느낌이 함께 나면 좋겠어."
11560,1,"아몬드와 바닐라가 은은하게 섞인 향을 찾고 있어. 아기 분 냄새처럼 포근하고 부드러웠으면 좋겠어."
11560,2,"강한 향보다 살결 가까이에서 느껴지는 향이 좋아. 고소한 아몬드와 달콤한 바닐라가 가볍게 났으면 해."
11560,3,"옛날 화장대가 떠오르는 여성스러운 향을 원해. 아몬드와 바닐라가 부드럽고 보송하게 느껴졌으면 좋겠어."
38345,1,"출근할 때 매일 쓰기 좋은 깔끔한 꽃향을 찾고 있어. 상큼한 감귤로 시작하고 단정하고 성숙했으면 좋겠어."
38345,2,"회사에서 부담 없이 쓸 향이면 좋겠어. 밝은 꽃향과 톡 튀는 감귤 향이 섞이고 전체적으로 깨끗했으면 해."
38345,3,"복잡한 향보다 단순하고 세련된 향을 원해. 상큼하게 시작해서 은은한 꽃향으로 이어졌으면 좋겠어."
19,1,"따뜻한 계절에 지중해 정원을 걷는 듯한 향을 찾고 있어. 감귤과 푸른 나무 향이 자연스럽게 느껴지면 좋겠어."
19,2,"인공적인 향보다 실제 식물 같은 향을 원해. 상큼한 감귤에 침엽수와 허브의 푸릇한 느낌이 있었으면 해."
19,3,"봄여름에 쓸 싱그러운 향이면 좋겠어. 햇볕 받은 정원처럼 초록 향이 풍성하고 감귤의 쌉싸름함도 있었으면 해."
53613,1,"봄여름에 어울리는 복숭아와 꽃 향을 찾고 있어. 달콤한 열매로 시작해서 촉촉한 꽃다발 느낌으로 변하면 좋겠어."
53613,2,"과일과 꽃향이 여러 겹으로 변하는 향이면 좋겠어. 복숭아와 베리 향 뒤에 작약과 오렌지꽃이 느껴졌으면 해."
53613,3,"여성스럽고 화사한 향을 원해. 복숭아의 부드러운 단맛에 젖은 꽃다발 같은 느낌이 자연스럽게 이어지면 좋겠어."
78755,1,"한여름에 마실 망고 우유 같은 향을 찾고 있어. 진짜 망고 과즙과 코코넛이 크림처럼 부드럽게 느껴지면 좋겠어."
78755,2,"휴가 갈 때 쓸 열대 과일 향이면 좋겠어. 달콤한 망고에 우유와 코코넛 느낌이 섞여 시원하고 부드러웠으면 해."
78755,3,"평범한 과일 향보다 독특하고 맛있는 향을 원해. 생망고와 코코넛 밀크 같은 느낌이 선명했으면 좋겠어."
1158,1,"성숙하고 우아한 꽃향을 찾고 있어. 달콤하지만 사탕 같지 않고 보송한 꽃가루 느낌이 풍성했으면 좋겠어."
1158,2,"여성스럽고 존재감 있는 꽃향이면 좋겠어. 진한 꽃다발에 부드러운 단맛이 있고 너무 어린 분위기는 싫어."
1158,3,"저녁에도 잘 어울리는 고급스러운 꽃향을 원해. 달큰하고 화려하지만 차분하고 성숙하게 느껴졌으면 좋겠어."
56098,1,"데이트할 때 쓰기 좋은 달콤한 향을 찾고 있어. 라즈베리와 바닐라가 섞이고 솜사탕처럼 사랑스러웠으면 좋겠어."
56098,2,"여성스럽고 살짝 섹시한 단향이면 좋겠어. 새콤달콤한 베리와 부드러운 바닐라가 함께 느껴졌으면 해."
56098,3,"솜사탕처럼 달콤하지만 너무 어린 느낌은 싫어. 라즈베리 과즙과 바닐라가 성숙하게 어우러졌으면 좋겠어."
