"perfume_id","sentence_no","sentence"
64372,1,"연기와 나무 냄새가 진하게 나는 묵직한 향을 찾고 있어. 어둡고 강렬하면서 흔하지 않았으면 좋겠어."
64372,2,"불에 그을린 나무 같은 향이 중심이면 좋겠어. 달콤함보다는 깊고 거친 분위기에 개성이 강했으면 해."
64372,3,"무난한 향보다 호불호 갈릴 정도로 진한 향을 원해. 짙은 연기와 마른 나무가 겹치는 느낌이면 좋겠어."
16657,1,"밤에 놀러 갈 때 쓸 달콤하고 강렬한 향을 찾고 있어. 사람들 사이에서도 존재감 있고 매력적이면 좋겠어."
16657,2,"친구 만나거나 술자리에서 쓰기 좋은 향이면 좋겠어. 부드럽게 달콤하면서도 밝고 자신감 있는 느낌을 원해."
16657,3,"너무 점잖은 향보다는 젊고 눈에 띄는 향을 원해. 달달하면서 활기차고 밤에 잘 어울렸으면 좋겠어."
94734,1,"한여름 회사에서 쓰기 좋은 깨끗한 향을 찾고 있어. 상큼한 감귤로 시작해서 은은한 과일 향이 남으면 좋겠어."
94734,2,"더운 날 부담 없이 뿌릴 산뜻한 향이면 좋겠어. 비누처럼 깨끗하고 가벼우면서 자연스러운 과일 느낌을 원해."
94734,3,"출근할 때 쓸 무난하고 밝은 향을 찾고 있어. 상쾌한 과일과 깨끗한 살냄새가 은근하게 어우러졌으면 좋겠어."
619,1,"덥고 습한 여름에 쓰기 좋은 가볍고 시원한 향을 찾고 있어. 깨끗하고 바람처럼 산뜻했으면 좋겠어."
619,2,"나이 상관없이 편하게 쓸 여름 향이면 좋겠어. 갓 씻은 듯 깔끔하고 무겁거나 달지 않았으면 해."
619,3,"복잡한 향보다 단순하고 상쾌한 향을 원해. 더운 날 잘 어울리고 비누처럼 깨끗한 느낌이 났으면 좋겠어."
30624,1,"잘 익은 패션프루트처럼 새콤달콤한 향을 찾고 있어. 열대 과일 느낌에 부드럽고 깨끗한 분위기도 있었으면 해."
30624,2,"평범한 과일 향보다 조금 성숙한 느낌을 원해. 진한 열대 과즙에 꽃과 감귤 향이 자연스럽게 섞였으면 좋겠어."
30624,3,"상큼하면서도 크림처럼 부드러운 과일 향이면 좋겠어. 패션프루트가 먼저 느껴지고 뒤에는 깨끗했으면 해."
1681,1,"격식 있는 자리에도 평소에도 쓸 수 있는 깔끔한 향을 찾고 있어. 감귤과 비누 향에 은은한 꽃향이면 좋겠어."
