perfume_id,sentence_no,sentence
17140,1,코코넛 밀크 같은 향이 확실히 나고 달달했으면 좋겠어. 휴양지 느낌에 부드러운 우유 향도 있었으면 해.
17140,2,여름 휴가 때 쓰려고 하는데 코코넛이 진하게 느껴지고 크리미했으면 좋겠어. 바닐라 단향은 은은하게 나면 좋아.
17140,3,달콤한 코코넛 디저트 같은 향을 찾고 있어. 우유처럼 부드럽고 따뜻하면서 남국 휴양지 분위기였으면 좋겠어.
103715,1,허브와 과일 향이 같이 나면서 바닷바람처럼 시원했으면 좋겠어. 끝에는 나무 향이 은은하게 남으면 해.
103715,2,싱그러운 풀향이 중심인데 과일의 달콤함도 있었으면 좋겠어. 너무 무겁지 않고 바다 근처 같은 청량함을 원해.
103715,3,여름에 쓰기 좋은 향으로 찾고 있어. 상큼한 과일과 시원한 바다 느낌이 나고 숲처럼 자연스러운 향도 있으면 좋겠어.
5581,1,나무 향이 진하게 나고 따뜻한 향신료 느낌이 있었으면 좋겠어. 익은 과일의 달콤함도 살짝 섞이면 좋아.
5581,2,차분한 숲속 같은 향을 찾는데 포근하게 매콤하고 과일 향도 느껴졌으면 해. 지나치게 달기보다는 묵직했으면 좋겠어.
5581,3,가을이나 겨울에 쓸 향으로 나무 향이 중심이었으면 좋겠어. 따뜻한 향신료와 달콤한 과일 느낌도 같이 원해.
30544,1,레몬이나 귤처럼 상큼한 향이 강하고 풀잎 같은 싱그러움이 있었으면 좋겠어. 가죽 느낌은 살짝만 있으면 해.
30544,2,처음에는 톡 쏘는 감귤 향이 나고 뒤에는 허브와 초록 잎 냄새가 남았으면 좋겠어. 너무 달지 않았으면 해.
30544,3,깔끔하고 상쾌한 향을 찾고 있어. 시트러스 과일과 풋풋한 풀 향이 중심이고 약간 매콤한 느낌도 있으면 좋겠어.
87922,1,말린 담뱃잎 향이 진하고 포근한 살냄새도 느껴졌으면 좋겠어. 장미와 젖은 흙 같은 깊은 향도 있었으면 해.
87922,2,어둡고 묵직한 분위기의 향을 원해. 담뱃잎과 나무 향이 강하면서 장미 향이 선명하게 섞여 있으면 좋겠어.
87922,3,담배잎과 흙내음이 나는 진한 향을 찾고 있어. 부드러운 체취 느낌과 장미가 함께 나서 성숙한 분위기면 좋겠어.
15130,1,따뜻하고 묵직한 향이 중심이고 가죽 냄새가 느껴졌으면 좋겠어. 달콤함과 초록 잎 느낌도 살짝 있었으면 해.
15130,2,겨울에 어울리는 깊은 향을 찾고 있어. 가죽과 달큰한 향이 나면서 은근히 매콤하고 풀잎 느낌도 있으면 좋겠어.
15130,3,포근하면서도 진한 향이 좋겠어. 새 가죽 같은 느낌과 은은한 단향이 있고 마지막에는 풋풋한 풀 향이 남으면 해.
41188,1,레몬처럼 밝고 상큼한 향이 강하면서 흰 꽃 향도 풍성했으면 좋겠어. 비 온 뒤 맑은 공기 같은 느낌도 원해.
41188,2,깔끔한 감귤 향과 꽃다발 같은 향이 같이 났으면 좋겠어. 너무 달지 않고 공기가 맑아지는 듯한 산뜻함이 있으면 해.
41188,3,봄여름에 쓰려고 하는데 상큼한 과일 향이 먼저 나고 하얀 꽃 향이 이어졌으면 좋겠어. 살짝 톡 쏘는 느낌도 좋아.
6693,1,하얀 꽃 향이 풍성하게 나면서 갓 꺾은 풀처럼 싱그러웠으면 좋겠어. 달콤한 과일 향은 살짝만 있었으면 해.
6693,2,꽃집에 들어간 것처럼 진한 흰 꽃 향을 원해. 촉촉한 초록 잎과 깨끗한 공기 느낌이 같이 나면 좋겠어.
6693,3,화사한 꽃향이 중심이지만 너무 달지는 않았으면 좋겠어. 생화의 풋풋함과 은은한 과일 향이 함께 느껴지면 해.
6,1,하얀 꽃 향이 진하면서 깨끗한 비누처럼 밝은 느낌이 있었으면 좋겠어. 나무 향과 보송한 분냄새도 은근히 원해.
6,2,단정하고 클래식한 향을 찾고 있어. 꽃 향과 깨끗한 세탁물 같은 느낌이 나고 포근한 분 향이 남았으면 좋겠어.
6,3,꽃다발 같은 향에 숲의 나무 냄새가 섞였으면 좋겠어. 상쾌하면서도 화장품 파우더처럼 보송한 느낌도 있으면 해.
1352,1,잘 익은 과일처럼 달콤한 향이 확실했으면 좋겠어. 너무 끈적하게 달기보다는 나무 향이 살짝 받쳐주면 좋겠어.
1352,2,과즙 많은 과일 향을 중심으로 찾고 있어. 달달하지만 약간 향신료 느낌이 있고 끝에 상큼함도 조금 남으면 해.
1352,3,달콤한 과일 바구니 같은 향이면 좋겠어. 은은한 나무 냄새와 새콤한 감귤 느낌이 섞여 너무 가볍지만 않았으면 해.
14649,1,톡 쏘는 상쾌함이 강하고 레몬 같은 상큼함이 있었으면 좋겠어. 과일과 나무 향도 같이 느껴지는 향을 찾고 있어.
14649,2,여름에 시원하게 쓸 향을 원해. 감귤 향이 선명하고 향신료처럼 알싸하면서 뒤에 숲 냄새가 남았으면 좋겠어.
14649,3,첫 향은 레몬처럼 산뜻하고 살짝 매콤했으면 좋겠어. 달지 않은 과일 향과 마른 나무 느낌도 함께 있으면 해.
85038,1,바닐라 향이 진하고 캐러멜처럼 달콤했으면 좋겠어. 하얀 꽃 향과 보송한 분냄새가 살짝 섞이면 더 좋겠어.
85038,2,달달한 디저트 같은 향을 찾고 있어. 바닐라와 눅진한 설탕 느낌이 중심이고 꽃 향은 은은하게 있었으면 해.
85038,3,따뜻한 바닐라 크림과 캐러멜을 떠올리게 하는 향이면 좋겠어. 너무 먹는 냄새만 나지 않게 꽃 향도 조금 원해.
56994,1,깨끗한 살냄새와 보송한 분냄새가 강했으면 좋겠어. 은은한 나무 향이 받쳐주고 전체적으로 포근하면 좋겠어.
56994,2,막 씻고 나온 피부처럼 부드럽고 포근한 향을 찾고 있어. 화장품 분 향과 마른 나무 느낌이 같이 나면 좋아.
56994,3,살에 자연스럽게 붙는 깨끗한 향이었으면 좋겠어. 보송한 파우더 느낌이 강하고 따뜻한 나무 향도 은근히 원해.
79178,1,달콤한 노란 꽃 향이 진하게 나고 바닐라처럼 포근했으면 좋겠어. 상큼한 감귤 향도 같이 느껴지면 좋아.
79178,2,화사하면서 달달한 꽃향을 찾고 있어. 바닐라의 부드러운 단향과 레몬 같은 산뜻함이 함께 있었으면 해.
79178,3,햇빛을 받은 꽃밭처럼 밝고 달콤했으면 좋겠어. 진한 꽃 향에 바닐라와 상큼한 과일 느낌도 같이 원해.
23480,1,바닐라 향이 진하고 보송한 분냄새가 많이 났으면 좋겠어. 달콤한 과일과 부드러운 나무 향도 같이 있었으면 해.
23480,2,포근하고 달달한 향을 찾는데 바닐라와 화장품 분 향이 중심이면 좋겠어. 과일 향도 은근하게 느껴졌으면 해.
23480,3,따뜻한 바닐라에 잘 익은 과일 향이 섞인 느낌이면 좋겠어. 보송하고 부드러우면서 나무 향도 살짝 남으면 해.
39030,1,진한 꽃 향이 중심이고 밀랍처럼 묵직한 달큰함이 있었으면 좋겠어. 남국의 화려한 꽃을 떠올리게 하면 좋아.
39030,2,꽃집보다 더 진하고 풍성한 꽃향을 찾고 있어. 달콤한 꿀이나 밀랍 느낌과 이국적인 분위기도 있었으면 해.
39030,3,화려한 흰 꽃 향이 확 퍼졌으면 좋겠어. 따뜻하고 살짝 끈적한 꿀 느낌과 열대 지방 같은 분위기도 원해.
56402,1,바닐라와 아몬드 향이 진하게 나고 꽃 향도 풍성했으면 좋겠어. 전체적으로 달고 보송한 느낌이면 좋아.
56402,2,달콤한 아몬드 과자 같은 향을 찾고 있어. 부드러운 바닐라와 꽃 향이 섞이고 화장품 분처럼 포근하면 좋겠어.
56402,3,고소한 아몬드와 바닐라 크림이 떠오르는 향이면 좋겠어. 달달하면서 꽃향이 나고 보송하게 마무리됐으면 해.
6759,1,새 가죽 같은 향이 강하고 바닐라의 달콤함이 풍성했으면 좋겠어. 나무와 보송한 분 느낌도 같이 있으면 해.
6759,2,가죽 향이 확실한데 너무 거칠지만은 않았으면 좋겠어. 달달한 바닐라와 부드러운 나무 향이 함께 나면 좋아.
6759,3,묵직한 가죽 냄새에 달콤한 크림 느낌이 섞인 향을 찾고 있어. 끝에는 나무와 포근한 분 향이 남았으면 해.
6097,1,바닐라 향이 진하고 보송한 화장품 분냄새가 났으면 좋겠어. 마른 나무 향과 포근한 살냄새도 함께 원해.
6097,2,달기만 한 바닐라보다 차분하고 포근한 향을 찾고 있어. 나무 냄새와 깨끗한 피부 같은 느낌이 섞이면 좋아.
6097,3,따뜻한 바닐라와 파우더 같은 향이 중심이면 좋겠어. 숲의 마른 나무 향이 받쳐주고 너무 달지 않았으면 해.
113627,1,달콤한 향이 확실하면서 깨끗한 살냄새와 보송한 분 느낌이 있었으면 좋겠어. 흰 꽃 향도 은은하게 나면 좋아.
113627,2,부드럽고 달달한 향을 찾고 있어. 피부에 남는 포근한 냄새와 화장품 분 향이 같이 나고 꽃향은 살짝만 원해.
113627,3,설탕처럼 달콤하지만 너무 디저트 같지는 않았으면 좋겠어. 깨끗한 체취 느낌과 하얀 꽃 향이 섞이면 좋아.
100813,1,바닐라 향이 진하고 장작을 태운 듯한 연기 냄새가 강했으면 좋겠어. 나무 향과 달콤함도 풍성하게 원해.
100813,2,모닥불 옆에서 바닐라 디저트를 먹는 듯한 향을 찾고 있어. 탄 나무 냄새가 진하고 달달했으면 좋겠어.
100813,3,달콤한 바닐라와 그을린 나무 향이 함께 나는 향이면 좋겠어. 따뜻하고 묵직하면서 살짝 보송하게 마무리됐으면 해.
1953,1,진한 단향에 가죽 냄새가 확실히 있었으면 좋겠어. 캐러멜처럼 눅진하고 포근한 체취 느낌도 같이 원해.
1953,2,달콤하지만 거칠고 묵직한 향을 찾고 있어. 가죽과 캐러멜 향이 강하고 약간 동물적인 체취도 느껴지면 좋겠어.
1953,3,캐러멜처럼 달달한 향에 오래된 가죽 느낌이 섞였으면 좋겠어. 깨끗하기보다는 진하고 야성적인 분위기를 원해.
66891,1,과즙 많은 과일 향이 진하고 달콤했으면 좋겠어. 감귤처럼 상큼하면서 남국 과일 같은 밝은 느낌도 원해.
66891,2,달달한 과일 칵테일 같은 향을 찾고 있어. 새콤한 감귤과 열대 과일 느낌이 나고 답답하지 않게 산뜻하면 좋겠어.
66891,3,잘 익은 과일을 한가득 썰어 놓은 듯한 향이면 좋겠어. 달콤함이 강하지만 상큼하고 시원한 느낌도 있었으면 해.
4575,1,따뜻하고 깊은 향에 허브 느낌이 진했으면 좋겠어. 가죽 냄새와 나무 향이 함께 나서 묵직한 분위기면 좋아.
4575,2,차분한 남성적인 향을 찾고 있어. 향긋한 허브와 가죽 향이 강하고 뒤에는 따뜻한 나무 냄새가 남았으면 해.
4575,3,가을겨울에 어울리는 진한 향이면 좋겠어. 허브와 오래된 가죽 느낌이 나고 은근히 매콤한 나무 향도 원해.
34696,1,레몬이나 오렌지처럼 상큼한 향이 강하고 과일 향도 풍성했으면 좋겠어. 가죽과 탄 나무 느낌은 살짝만 원해.
34696,2,처음에는 밝은 감귤 향이 나다가 뒤로 갈수록 가죽과 연기 냄새가 느껴졌으면 좋겠어. 너무 무겁지는 않았으면 해.
34696,3,상큼한 과일 향이 중심이지만 가볍기만 하지는 않았으면 좋겠어. 은은한 가죽과 그을린 나무 향이 받쳐주면 좋아.
