perfume_id,sentence_no,sentence
64372,1,따뜻하고 묵직한 향인데 장작을 태운 듯한 연기 냄새가 강했으면 좋겠어. 살짝 알싸한 느낌도 있으면 해.
64372,2,겨울에 쓸 깊은 향을 찾고 있어. 그을린 나무와 따뜻한 향신료 느낌이 나고 너무 달지는 않았으면 좋겠어.
64372,3,불 피운 벽난로처럼 훈연된 향이 진했으면 좋겠어. 나무 냄새와 톡 쏘는 매콤함이 같이 느껴지면 좋아.
16657,1,바닐라 향이 진한데 허브와 초록 잎 냄새도 선명했으면 좋겠어. 달기만 하지 않고 살짝 알싸하면 좋겠어.
16657,2,달콤한 바닐라에 갓 뜯은 풀잎 같은 싱그러움이 섞인 향을 원해. 향긋한 허브 느낌도 강했으면 해.
16657,3,포근한 단향이 중심이지만 산뜻한 풀 냄새도 많이 났으면 좋겠어. 끝에는 따뜻하고 깊은 느낌이 남으면 해.
94734,1,상큼한 감귤과 달콤한 과일 향이 풍성했으면 좋겠어. 향긋한 허브와 깨끗한 살냄새도 같이 느껴지면 해.
94734,2,과즙이 터지는 듯한 밝은 향을 찾고 있어. 레몬 같은 상큼함이 강하고 달달하면서 포근한 피부 향도 원해.
94734,3,봄여름에 쓰기 좋은 상큼한 과일 향이면 좋겠어. 은은한 허브 느낌과 부드러운 체취 같은 향도 있었으면 해.
619,1,알싸하고 향긋한 향신료 느낌이 강했으면 좋겠어. 따뜻한 나무 향에 레몬 같은 상큼함도 같이 있으면 해.
619,2,톡 쏘는 매콤함과 허브 향이 중심인 향을 찾고 있어. 나무 냄새가 묵직하게 받쳐주고 감귤 향도 조금 원해.
619,3,깔끔하지만 따뜻한 향이면 좋겠어. 향신료의 알싸함이 선명하고 숲의 나무 향과 상큼함도 느껴졌으면 해.
30624,1,달콤하고 과즙 많은 과일 향이 진했으면 좋겠어. 열대 과일 느낌이 풍성하면서 답답하지 않고 산뜻하면 좋아.
30624,2,잘 익은 망고나 파인애플처럼 달달한 향을 찾고 있어. 향긋한 풀 느낌도 있고 전체적으로 싱그러웠으면 해.
30624,3,휴양지에서 마시는 과일 음료 같은 향이면 좋겠어. 달콤함이 강하되 신선한 느낌과 허브 향도 같이 원해.
1681,1,레몬 같은 상큼함이 강하고 향긋한 허브 냄새가 났으면 좋겠어. 은은한 나무 향과 라벤더 느낌도 있으면 해.
1681,2,깔끔하고 시원한 향을 찾고 있어. 감귤 향에 살짝 알싸한 느낌이 나고 뒤에는 차분한 꽃 향이 남았으면 해.
1681,3,상쾌한 감귤과 허브 향이 중심이면 좋겠어. 너무 가볍지 않게 나무 냄새와 부드러운 라벤더도 같이 원해.
756,1,레몬이나 오렌지처럼 밝고 상큼한 향이 확실했으면 좋겠어. 나무 향은 가볍게 나고 전체적으로 깨끗하면 해.
756,2,더운 날 부담 없이 쓸 산뜻한 향을 찾고 있어. 감귤 향이 중심이고 맑은 공기처럼 가벼운 느낌이면 좋겠어.
756,3,처음부터 끝까지 상큼하고 깔끔했으면 좋겠어. 은은한 허브와 나무 냄새가 섞여 너무 단순하지 않았으면 해.
12109,1,하얀 꽃 향이 풍성하고 장미도 진하게 느껴졌으면 좋겠어. 달콤한 과일과 포근한 살냄새도 살짝 있으면 해.
12109,2,꽃다발처럼 화사한 향을 찾고 있어. 장미와 흰 꽃 향이 중심이고 잘 익은 과일의 달콤함도 같이 원해.
12109,3,진한 꽃 향인데 너무 고전적이지 않았으면 좋겠어. 장미에 상큼달콤한 과일 향과 부드러운 피부 향이 섞이면 좋아.
284,1,하얀 꽃 향이 진하고 나무 냄새도 꽤 묵직했으면 좋겠어. 처음에는 감귤처럼 상큼하고 밝게 시작하면 해.
284,2,화사한 꽃 향과 차분한 나무 향이 같이 나는 향을 원해. 레몬 같은 산뜻함과 노란 꽃 느낌도 있었으면 좋겠어.
284,3,깨끗하고 고급스러운 꽃향이면 좋겠어. 흰 꽃이 중심이고 나무 향이 받쳐주면서 감귤의 상큼함도 원해.
25864,1,꽃향이 풍성하지만 나무 냄새도 선명했으면 좋겠어. 은은한 과일 향과 화장품 분 같은 보송함도 있으면 해.
25864,2,차분한 꽃다발 같은 향을 찾고 있어. 숲의 나무 향이 깊게 깔리고 달콤한 과일과 포근한 분 향도 원해.
25864,3,꽃 향이 중심인데 너무 가볍지는 않았으면 좋겠어. 나무 향이 묵직하게 남고 보송한 느낌도 같이 있으면 해.
2072,1,잘 익은 과일처럼 달콤한 향이 강하고 나무 냄새도 진했으면 좋겠어. 따뜻하고 묵직한 느낌도 함께 원해.
2072,2,달달한 과일 잼 같은 향을 찾는데 숲의 나무 향이 깊게 받쳐줬으면 해. 끝에는 감귤의 상큼함도 조금 있으면 좋아.
2072,3,과일 향과 단향이 풍성하되 너무 가볍지 않았으면 좋겠어. 따뜻한 나무 냄새와 은은한 상큼함도 같이 원해.
