source,source_rank,ranking_basis,ranking_period,source_product_id,brand_raw,product_name_raw,product_url,price_raw,collected_at,source_file,har_entry_index,cleaning_status,option_type,cleaning_rule,cleaning_reason,option_basis,option_reason,prior_review_context,audit_raw_csv_line,effective_cleaning_status,effective_status_basis
musinsa,1,판매수량순,3개월,4388016,무신사 스탠다드 뷰티,무신사 스탠다드 애프터 샤워 EDP 50ml,https://www.musinsa.com/products/4388016,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,2,KEEP,first_pass_KEEP
musinsa,3,판매수량순,3개월,4268814,비비앙,[태산 PICK] 오드퍼퓸 월넛크릭그린  EDP 50ml,https://www.musinsa.com/products/4268814,91900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,4,KEEP,first_pass_KEEP
musinsa,5,판매수량순,3개월,4902680,포맨트,시그니처 퍼퓸  코튼허그 50ml,https://www.musinsa.com/products/4902680,41000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,6,KEEP,first_pass_KEEP
musinsa,6,판매수량순,3개월,6453356,무신사 스탠다드 뷰티,[Gen.G 컬래버] Chovy EDP 50ml,https://www.musinsa.com/products/6453356,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,7,KEEP,first_pass_KEEP
musinsa,7,판매수량순,3개월,6150470,무신사 스탠다드 뷰티,[노홍철 컬래버] 럭키 가이 實行力(실행력) EDP 50ml,https://www.musinsa.com/products/6150470,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,8,KEEP,first_pass_KEEP
musinsa,8,판매수량순,3개월,5357869,무신사 스탠다드 뷰티,무신사 스탠다드 시어 EDP 50ml,https://www.musinsa.com/products/5357869,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,9,KEEP,first_pass_KEEP
musinsa,10,판매수량순,3개월,5542396,리베르,[김켄지 PICK] [구름 비누향] 오 드 퍼퓸 클라우드 사이 30ML Cloud Sai,https://www.musinsa.com/products/5542396,43150,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,11,KEEP,first_pass_KEEP
musinsa,11,판매수량순,3개월,4388018,무신사 스탠다드 뷰티,무신사 스탠다드 스모크 오우드 EDP 50ml,https://www.musinsa.com/products/4388018,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,12,KEEP,first_pass_KEEP
musinsa,12,판매수량순,3개월,4254208,무신사 스탠다드 뷰티,무신사 스탠다드 모시 헤이즈 EDP 50ml,https://www.musinsa.com/products/4254208,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,13,KEEP,first_pass_KEEP
musinsa,13,판매수량순,3개월,6453083,무신사 스탠다드 뷰티,[Gen.G 컬래버] Ruler EDP 50ml,https://www.musinsa.com/products/6453083,39900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,KEEP,NONE,named_perfume,"본품 향수 표현과 개별 상품명 확인; 고정 증정품 허용, 용량/농도 원문 유지",no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,14,KEEP,first_pass_KEEP
