source,source_rank,ranking_basis,ranking_period,source_product_id,brand_raw,product_name_raw,product_url,price_raw,collected_at,source_file,har_entry_index,cleaning_status,option_type,cleaning_rule,cleaning_reason,option_basis,option_reason,prior_review_context,audit_raw_csv_line,previous_effective_status,previous_effective_basis,previous_effective_reason,personal_fragrance_scope,scope_rule,scope_reason,candidate_decision,candidate_reason
musinsa,17,판매수량순,3개월,4430846,비비앙,[보이넥스트도어 PICK] 니치 룸스프레이 섬유향수 100ml 월넛크릭 그린,https://www.musinsa.com/products/4430846,15900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,EXCLUDE_NON_PERFUME,NONE,main_nonperfume,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,18,EXCLUDE_NON_PERFUME,first_pass:main_nonperfume,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,HOME_FRAGRANCE,explicit_home_or_object_use,상품명에 공간·섬유·속옷 등 사물 사용 또는 디퓨저·캔들이 명시되어 있다.,EXCLUDE_HOME_FRAGRANCE,공간 또는 사물에 사용하는 제품이므로 후보에서 제외한다.
musinsa,36,판매수량순,3개월,4446717,비비앙,[기프트세트] 니치 룸스프레이 섬유향수 2개 듀오,https://www.musinsa.com/products/4446717,29800,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,EXCLUDE_NON_PERFUME,NONE,main_nonperfume,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,37,EXCLUDE_NON_PERFUME,first_pass:main_nonperfume,상품명에서 주상품을 실내/섬유 방향 또는 세정/보습/시트로 확인한 후보,HOME_FRAGRANCE,explicit_home_or_object_use,상품명에 공간·섬유·속옷 등 사물 사용 또는 디퓨저·캔들이 명시되어 있다.,EXCLUDE_HOME_FRAGRANCE,공간 또는 사물에 사용하는 제품이므로 후보에서 제외한다.
musinsa,46,판매수량순,3개월,5629463,에이딕트,솔리드 퍼퓸 30ml (선택),https://www.musinsa.com/products/5629463,23500,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,47,EXCLUDE_NON_PERFUME,second_pass:unknown_option_but_all_non_perfume,옵션의 세부 유형과 무관하게 주상품이 고체향수·이너퍼퓸·바디스프레이로 명확하다.,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",REVIEW_OPTION_UNKNOWN,선택 항목이 향·용량·구성 중 무엇인지 확인이 필요하다.
musinsa,52,판매수량순,3개월,4627985,러쉬,휴대용 솔리드 퍼퓸/고체 향수 15종 택 1,https://www.musinsa.com/products/4627985,30000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,EXCLUDE_NON_PERFUME,SCENT,main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,snapshot_option_review,한 용량/제형의 복수 향 제품 중 택1; 주상품은 모두 서비스 범위 밖,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,53,EXCLUDE_NON_PERFUME,first_pass:main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",EXCLUDE_SCENT_OPTION,여러 향 선택 상품의 순위를 개별 향에 귀속하지 않는다.
musinsa,59,판매수량순,3개월,3506692,포뷰트,시그니처 헤어퍼퓸 애프터 선셋 남자향수 50ml,https://www.musinsa.com/products/3506692,15000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,0,EXCLUDE_NON_PERFUME,NONE,main_hair_body,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,60,EXCLUDE_NON_PERFUME,first_pass:main_hair_body,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",RETURN_TO_CANDIDATES,Personal Fragrance이며 향 선택이 없는 확정 판매행이다.
musinsa,66,판매수량순,3개월,6310017,포엘리에,Y존향수 이너퍼퓸 5ml 택1,https://www.musinsa.com/products/6310017,15900,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,34,REVIEW,UNKNOWN,option_unknown,옵션 유형 혼합 또는 옵션 대응 근거 부족,unresolved_option,선택/N종 표기는 있으나 향·용량·구성의 대응 근거 부족,,67,EXCLUDE_NON_PERFUME,second_pass:unknown_option_but_all_non_perfume,옵션의 세부 유형과 무관하게 주상품이 고체향수·이너퍼퓸·바디스프레이로 명확하다.,UNRESOLVED,body_care_or_application_unclear,세정·보습·애프터쉐이브가 주기능이거나 피부와 속옷 중 적용 대상이 불명확하다.,REVIEW_SCOPE_UNRESOLVED,Personal Fragrance 포함 여부를 상품명만으로 확정하지 않는다.
musinsa,69,판매수량순,3개월,5462533,에이딕트,솔리드 퍼퓸 네이키드 30mlX2,https://www.musinsa.com/products/5462533,38500,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,34,EXCLUDE_NON_PERFUME,NONE,main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,70,EXCLUDE_NON_PERFUME,first_pass:main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",RETURN_TO_CANDIDATES,Personal Fragrance이며 향 선택이 없는 확정 판매행이다.
musinsa,72,판매수량순,3개월,6144471,캘빈클라인 퍼퓸,헤어&바디 미스트 236ml (4종 택 1),https://www.musinsa.com/products/6144471,45000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,34,EXCLUDE_NON_PERFUME,SCENT,main_hair_body,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,snapshot_option_review,한 용량/제형의 복수 향 제품 중 택1; 주상품은 모두 서비스 범위 밖,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,73,EXCLUDE_NON_PERFUME,first_pass:main_hair_body,상품명에서 주상품을 헤어/바디 향 제품으로 확인한 후보,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",EXCLUDE_SCENT_OPTION,여러 향 선택 상품의 순위를 개별 향에 귀속하지 않는다.
musinsa,79,판매수량순,3개월,5159312,컴인사이드미,이너퍼퓸 여자 오일 속옷향수,https://www.musinsa.com/products/5159312,22800,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,34,EXCLUDE_NON_PERFUME,NONE,intimate_mention,이너/Y존/속옷 향수가 주상품,no_option_evidence,상품명에서 선택 옵션 근거 없음; 옵션 부재를 상세페이지에서 확인한 것은 아님,,80,EXCLUDE_NON_PERFUME,first_pass:intimate_mention,이너/Y존/속옷 향수가 주상품,HOME_FRAGRANCE,explicit_home_or_object_use,상품명에 공간·섬유·속옷 등 사물 사용 또는 디퓨저·캔들이 명시되어 있다.,EXCLUDE_HOME_FRAGRANCE,공간 또는 사물에 사용하는 제품이므로 후보에서 제외한다.
musinsa,80,판매수량순,3개월,6502893,센슬,플로우 세트 (뮤트 크림 퍼퓸 플로우 미닛 + [미니] 퀵틴트 2종),https://www.musinsa.com/products/6502893,37000,2026-09-05,data/korea_popularity/raw/musinsa_perfume_3month_sales_count_20260905.har,34,EXCLUDE_NON_PERFUME,NONE,main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,snapshot_option_review,고정 크림퍼퓸+틴트 세트; 2종은 틴트 구성으로 향수 선택 근거가 아님,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,81,EXCLUDE_NON_PERFUME,first_pass:main_solid_cream_stick,고체/크림/밤/젤/스틱 제형 표기 후보; 실제 제형은 미확인,PERSONAL_FRAGRANCE,explicit_body_applied_fragrance_form,"헤어·바디 미스트, 고체향수, 퍼퓸밤·젤·스틱 등 몸에 향을 남기는 제형이 명시되어 있다.",RETURN_TO_CANDIDATES,Personal Fragrance이며 향 선택이 없는 확정 판매행이다.
